call,phase,phase_call,retention,count,gain,curve_40
1,assert-through-saturation,1,1,1,0,16383
3499,assert-through-saturation,3499,1,3499,0,16383
3500,assert-through-saturation,3500,1,3500,1,16382
3501,assert-through-saturation,3501,1,3500,2,16382
17898,assert-through-saturation,17898,1,3500,14399,9506
17899,assert-through-saturation,17899,1,3500,14400,9506
17900,assert-through-saturation,17900,1,3500,14400,9506
18000,assert-through-saturation,18000,1,3500,14400,9506
18001,release,1,0,0,12000,10652
18002,release,2,0,0,9600,11798
18003,release,3,0,0,7200,12944
18004,release,4,0,0,4800,14090
18005,release,5,0,0,2400,15236
18006,release,6,0,0,0,16383
18007,release,7,0,0,0,16383
18008,stop-before-threshold,1,1,1,0,16383
21506,stop-before-threshold,3499,1,3499,0,16383
21507,reset,1,0,0,0,16383
21508,rearm,1,1,1,0,16383
25006,rearm,3499,1,3499,0,16383
25007,rearm,3500,1,3500,1,16382
25008,clear-small-gain,1,0,0,0,16383
