position,recording_time_seconds,x_source_pixels,y_source_pixels
1,87.573333,0,0
2,119.068333,0,1
3,179.221667,-1,1
4,239.356667,-1,2
5,299.475000,-2,2
6,359.626667,-2,3
7,419.746667,-3,3
8,479.881667,-3,4
9,540.033333,-4,4
10,600.153333,-4,5
11,660.288333,-5,5
12,720.406667,-5,6
13,780.560000,-6,6
14,840.695000,-6,7
15,900.813333,-7,7
16,960.965000,-8,8
17,1021.085000,-9,9
18,1081.220000,-10,10
19,1141.371667,-11,11
20,1201.491667,-12,12
21,1261.626667,-13,13
22,1321.761667,-14,12
23,1381.898333,-13,11
24,1442.033333,-12,10
25,1502.151667,-11,9
26,1562.303333,-10,8
27,1622.423333,-9,7
28,1682.558333,-8,6
29,1742.710000,-7,5
30,1802.830000,-6,4
31,1862.965000,-5,3
32,1923.100000,-4,2
33,1983.236667,-3,1
34,2043.371667,-4,0
35,2103.506667,-5,1
36,2163.641667,-6,2
37,2223.761667,-7,3
38,2283.896667,-8,4
39,2344.048333,-9,5
40,2404.168333,-10,6
41,2464.303333,-11,7
42,2524.438333,-12,8
43,2584.575000,-13,9
