transition,detector_time_s,ecc_correlation,reference_delta_x_camera_px,reference_delta_y_camera_px,raw_target_delta_x_camera_px,raw_target_delta_y_camera_px,reference_corrected_delta_x_camera_px,reference_corrected_delta_y_camera_px,pre_reference_frames,post_reference_frames
1,119.06833333333333,0.9959357263167137,0.5151937007904053,-0.32866016030311584,-0.16293281276284688,9.121387455567628,-0.6781265135532522,9.450047615870744,30,30
2,179.22166666666666,0.9972263561488024,0.052820347249507904,0.20129556953907013,-8.914233642144609,-0.19836269729216838,-8.967053989394117,-0.3996582668312385,30,30
3,239.35666666666665,0.9917099299439498,1.0713560581207275,-1.2193113565444946,-0.07661393759508428,9.04106775345798,-1.1479699957158118,10.260379110002475,30,30
4,299.475,0.9924597257945003,-0.957240879535675,0.4068714380264282,-9.308501185085333,-0.38842409972971836,-8.351260305549658,-0.7952955377561466,30,30
5,359.62666666666667,0.9962049743058263,-0.9416531920433044,0.7329020500183105,-0.06900815062454058,9.218498774120235,0.8726450414187639,8.485596724101924,30,30
6,419.74666666666667,0.9931248331840151,0.9519553780555725,-0.5529701709747314,-8.952772720052963,-0.2215752592498461,-9.904728098108535,0.33139491172488533,30,30
7,479.88166666666666,0.997046998711909,-0.17357181012630463,-0.06325839459896088,-0.2896166792479562,9.068324438184845,-0.11604486912165157,9.131582832783806,29,30
8,540.0333333333333,0.9967812947440223,-0.10957960039377213,0.1441817730665207,-9.095575050008847,-0.2654121811013965,-8.985995449615075,-0.4095939541679172,30,30
9,600.1533333333333,0.9937857183087456,-0.6351956129074097,0.7989239692687988,0.05127858522973838,9.054743241781125,0.686474198137148,8.255819272512326,30,30
10,660.2883333333333,0.9961310182326535,-0.770959198474884,0.6974977850914001,-9.382611274123974,-0.18086533249527292,-8.61165207564909,-0.8783631175866731,29,30
11,720.4066666666666,0.9960987737518461,0.3746199607849121,-0.24078971147537231,-0.1280466331140815,9.335656509430521,-0.5026665938989936,9.576446220905893,30,30
12,780.56,0.9970460254602156,0.32686999440193176,0.19188562035560608,-8.986646096914683,-0.32429710327778594,-9.313516091316615,-0.516182723633392,30,30
13,840.695,0.9968264040956116,-0.29910925030708313,-0.02185927890241146,-0.24782825872034664,9.187480608071155,0.05128099158673649,9.209339886973567,30,29
14,900.8133333333334,0.9966854026562073,-0.6644722819328308,0.41231271624565125,-9.28470449145425,-0.26245829738667226,-8.620232209521419,-0.6747710136323235,30,30
15,960.965,0.9972002361433764,-0.1525833010673523,-0.31935977935791016,-9.313344004449391,8.893856015150789,-9.160760703382039,9.213215794508699,30,30
16,1021.085,0.9961805398847833,0.23472414910793304,-0.25013086199760437,-9.255659201367962,8.929141095649754,-9.490383350475895,9.179271957647359,30,29
17,1081.22,0.9968089266859095,-0.12700790166854858,-0.08988241106271744,-9.108631262594827,8.775488741688036,-8.981623360926278,8.865371152750754,30,30
18,1141.3716666666667,0.9967667712600191,-0.1110573336482048,0.26338091492652893,-9.186618748114142,8.865746013487637,-9.075561414465938,8.602365098561108,30,30
19,1201.4916666666666,0.9967277088803211,-0.10094557702541351,0.5171971321105957,-9.1420824065317,9.208318206134663,-9.041136829506286,8.691121074024068,30,30
20,1261.6266666666668,0.9931615690391051,1.2923816442489624,-2.2874183654785156,-9.361321444023815,8.840313080021474,-10.653703088272778,11.12773144549999,30,30
21,1321.7616666666668,0.9970350322426017,0.04320969060063362,0.48554953932762146,-9.189471813624095,-9.42551738636962,-9.232681504224729,-9.911066925697241,30,30
22,1381.8983333333333,0.9966248092936477,0.057226844131946564,0.04732831194996834,9.194434986870874,-8.863436145834612,9.137208142738928,-8.91076445778458,30,30
23,1442.0333333333333,0.9966742047975262,0.304500550031662,-0.8058056235313416,9.404254711575959,-8.997758419375486,9.099754161544297,-8.191952795844145,30,30
24,1502.1516666666666,0.9967860059235505,-0.10405636578798294,-0.2542908191680908,9.285640746393256,-9.062312688959707,9.389697112181238,-8.808021869791617,30,30
25,1562.3033333333333,0.992356499215492,1.236865758895874,-1.6538453102111816,9.19561997710025,-8.680346519976865,7.958754218204376,-7.026501209765684,30,30
26,1622.4233333333334,0.9918753525634676,-0.4050971567630768,0.4054088890552521,9.471999329702612,-8.945206868640184,9.877096486465689,-9.350615757695437,30,30
27,1682.5583333333334,0.9955615303197382,-0.3457461893558502,0.4611349105834961,9.197563888212244,-8.819135784818172,9.543310077568094,-9.280270695401668,30,30
28,1742.71,0.9924744505113606,0.6754044890403748,-1.0272272825241089,9.28627328220955,-8.785518307408779,8.610868793169175,-7.75829102488467,30,30
29,1802.83,0.996859387908445,-0.32114729285240173,-0.04185204207897186,9.046804946957309,-8.934000293318377,9.36795223980971,-8.892148251239405,30,30
30,1862.965,0.9963476940584601,0.4591551721096039,0.24749112129211426,9.2087494558441,-8.812713791804072,8.749594283734496,-9.060204913096186,30,30
31,1923.1,0.9924457072404511,-0.6802077889442444,0.6421281099319458,9.22555352745485,-8.87035099875294,9.905761316399094,-9.512479108684886,30,30
32,1983.2366666666667,0.995892238957939,-0.5707538723945618,0.6329944133758545,9.193650425575925,-9.160358113120253,9.764404297970486,-9.793352526496108,30,30
33,2043.3716666666667,0.995088171294754,0.7486883401870728,-0.8095191121101379,-9.117592142566082,-9.236896766919813,-9.866280482753155,-8.427377654809675,30,30
34,2103.5066666666667,0.996693947991558,0.21166421473026276,-0.278598815202713,-9.126323554309693,8.869834847342304,-9.337987769039955,9.148433662545017,30,30
35,2163.641666666667,0.9966538082665076,-0.1525055319070816,-0.32946881651878357,-9.262552633823361,8.820882789942289,-9.11004710191628,9.150351606461072,30,30
36,2223.7616666666668,0.9964215266769461,-0.18248970806598663,0.29355931282043457,-9.30553025282643,9.087702480819814,-9.123040544760443,8.79414316799938,30,30
37,2283.8966666666665,0.9966011235462878,-0.1326306015253067,0.013705735094845295,-9.408452246505476,8.877351377230411,-9.27582164498017,8.863645642135566,30,30
38,2344.048333333333,0.9963278087415988,0.17214813828468323,-0.4919199049472809,-9.392458151511164,8.826146793586304,-9.564606289795847,9.318066698533585,30,30
39,2404.1683333333335,0.9967922994487266,0.12904447317123413,-0.5218762159347534,-9.356085030644863,8.792674761180194,-9.485129503816097,9.314550977114948,30,30
40,2464.3033333333333,0.9964842113005973,0.025795428082346916,0.3807409405708313,-9.07590272841935,8.869822394754749,-9.101698156501698,8.489081454183918,30,30
41,2524.4383333333335,0.996727620429912,-0.1764410138130188,0.2266477346420288,-9.326949287697516,9.171092978523802,-9.150508273884498,8.944445243881773,30,30
42,2584.575,0.9938431753602135,0.8609747886657715,-0.786169171333313,-9.14963244070941,8.854454611900167,-10.010607229375182,9.64062378323348,30,30
