tick,phase,retention,retention_available,retention_count,fcn_gain,fcn_available,local_strength,local_target_strength,minimum_region_duty,app_counter,app_duty,anti_residue,srp_center_mask_gain,srp_board_mask_gain,flat,standard_pattern,hdr_color_pattern,banner_probability,banner_history,screen_saver_off,isp_off,policy_state
1,pattern-knee,false,false,0,0,false,1,1020,255,0,255,0,196,224,false,false,false,0,0,true,false,2
100,pattern-knee,false,false,0,0,false,100,1020,230,0,255,0,196,224,false,false,false,0,0,true,false,2
200,pattern-knee,false,false,0,0,false,200,1020,205,0,255,0,196,224,false,false,false,0,0,true,false,2
300,pattern-knee,false,false,0,0,false,300,1020,180,0,255,0,196,224,false,false,false,0,0,true,false,2
400,pattern-knee,false,false,0,0,false,400,1020,155,0,255,9,196,224,false,false,false,0,0,true,false,2
500,pattern-knee,false,false,0,0,false,500,1020,130,0,255,9,196,224,false,false,false,0,0,true,false,2
600,pattern-knee,false,false,0,0,false,600,1020,106,0,255,9,196,224,false,false,false,0,0,true,false,2
700,pattern-knee,false,false,0,0,false,700,1020,81,0,255,9,196,224,false,false,false,0,0,true,false,2
800,pattern-knee,false,false,0,0,false,800,1020,56,0,255,20,196,224,false,false,false,0,0,true,false,2
900,pattern-knee,false,false,0,0,false,900,1020,31,0,255,20,196,224,false,false,false,0,0,true,false,2
1000,pattern-knee,false,false,0,0,false,1000,1020,6,0,255,20,196,224,false,false,false,0,0,true,false,2
1100,pattern-knee,false,false,0,0,false,1020,1020,1,0,255,20,196,224,false,false,false,0,0,true,false,2
1101,dark-image,false,false,0,0,false,1004,992,1,0,255,31,196,224,false,false,false,0,0,true,false,2
1110,dark-image,false,false,0,0,false,992,992,105,0,255,31,196,224,false,false,false,0,0,true,false,2
1111,high-menu-lpc,false,false,0,0,false,993,1024,40,0,255,31,128,192,false,false,false,0,0,true,false,2
1150,high-menu-lpc,false,false,0,0,false,1024,1024,33,0,255,31,128,192,false,false,false,0,0,true,false,2
1151,factory-exclusion,false,false,0,0,false,1008,0,33,0,255,31,196,224,false,false,false,0,0,true,false,2
1200,factory-exclusion,false,false,0,0,false,224,0,211,0,255,31,196,224,false,false,false,0,0,true,false,2
1220,factory-exclusion,false,false,0,0,false,0,0,255,0,255,31,196,224,false,false,false,0,0,true,false,2
