transition,detector_pts,detector_time_s,settled_pts,settled_time_s,pre_centroid_x_camera_px,pre_centroid_y_camera_px,post_centroid_x_camera_px,post_centroid_y_camera_px,raw_delta_x_camera_px,raw_delta_y_camera_px,reference_delta_x_camera_px,reference_delta_y_camera_px,reference_corrected_delta_x_camera_px,reference_corrected_delta_y_camera_px,raw_unrounded_step_x_source_px,raw_unrounded_step_y_source_px,corrected_unrounded_step_x_source_px,corrected_unrounded_step_y_source_px,decoded_step_x_source_px,decoded_step_y_source_px,cumulative_x_source_px,cumulative_y_source_px,raw_rounding_residual_source_px,corrected_rounding_residual_source_px,reference_ecc_correlation,window_frame_count
1,71441,119.06833333333333,71451,119.085,2174.3995640741587,429.25072023365124,2174.236631261396,438.37210768921886,-0.16293281276284688,9.121387455567628,0.5151937007904053,-0.32866016030311584,-0.6781265135532522,9.450047615870744,-0.010796057155312715,1.0059303166799496,-0.06724769050705176,1.0435030648054713,0,1,0,1,0.012317609590552349,0.08009225009950248,0.9959357263167137,167
2,107533,179.22166666666666,107543,179.23833333333334,2174.5879677066987,438.100987246509,2165.673734064554,437.90262454921685,-8.914233642144609,-0.19836269729216838,0.052820347249507904,0.20129556953907013,-8.967053989394117,-0.3996582668312385,-0.9813704242447903,0.001362999528492042,-0.9873420453707185,-0.02068938378999629,-1,0,-1,1,0.01867936991800762,0.02425436902924319,0.9972263561488024,168
3,143614,239.35666666666665,143614,239.35666666666665,2165.5842940061293,437.70355795769336,2165.5076800685342,446.74462571115134,-0.07661393759508428,9.04106775345798,1.0713560581207275,-1.2193113565444946,-1.1479699957158118,10.260379110002475,-0.0013575501822800408,0.9968512504413314,-0.11833053828954514,1.1340551796593743,0,1,-1,2,0.003428930778045014,0.17880969628462723,0.9917099299439498,168
4,179685,299.475,179695,299.4916666666667,2165.389714511888,446.6825045102582,2156.0812133268028,446.29408041052847,-9.308501185085333,-0.38842409972971836,-0.957240879535675,0.4068714380264282,-8.351260305549658,-0.7952955377561466,-1.024917322593728,-0.01856119179639033,-0.9198695007180707,-0.0659075788942026,-1,0,-2,2,0.03107073874471441,0.10375310053616137,0.9924597257945003,168
5,215776,359.62666666666667,215786,359.6433333333333,2156.2964232648446,446.0045986815038,2156.22741511422,455.22309745562404,-0.06900815062454058,9.218498774120235,-0.9416531920433044,0.7329020500183105,0.8726450414187639,8.485596724101924,-0.000381501449030955,1.0163907253685425,0.10269538662361331,0.9331446314346113,0,1,-2,3,0.016395164575648345,0.12253971902933095,0.9962049743058263,168
6,251848,419.74666666666667,251858,419.7633333333333,2156.1356796700757,455.16022213334696,2147.1829069500227,454.9386468740971,-8.952772720052963,-0.2215752592498461,0.9519553780555725,-0.5529701709747314,-9.904728098108535,0.33139491172488533,-0.9856306969592502,-0.0010954321280288865,-1.0899823912961386,0.06234252871002549,-1,0,-3,3,0.0144109972390539,0.1094688157848241,0.9931248331840151,168
7,287929,479.88166666666666,287939,479.8983333333333,2147.139953431343,454.6965685664759,2146.8503367520952,463.76489300466073,-0.2896166792479562,9.068324438184845,-0.17357181012630463,-0.06325839459896088,-0.11604486912165157,9.131582832783806,-0.024782039826837486,1.0004109863878707,-0.005626988203414921,1.0069320288822474,0,1,-3,4,0.02478544750029691,0.008928382869572916,0.997046998711909,167
8,324020,540.0333333333333,324020,540.0333333333333,2147.1446649357085,463.61799814329356,2138.0490898856997,463.35258596219217,-9.095575050008847,-0.2654121811013965,-0.10957960039377213,0.1441817730665207,-8.985995449615075,-0.4095939541679172,-1.0013836646235252,-0.005555710769466496,-0.9894347617524519,-0.02173529491793452,-1,0,-4,4,0.0057254213770133325,0.02416707066230913,0.9967812947440223,167
9,360092,600.1533333333333,360102,600.17,2137.9458751910215,463.1581205084698,2137.9971537762513,472.2128637502509,0.05127858522973838,9.054743241781125,-0.6351956129074097,0.7989239692687988,0.686474198137148,8.255819272512326,0.012730647957672505,0.9980255054385349,0.08202320511581103,0.9083000177575922,0,1,-4,5,0.012882857842708914,0.12303126806112469,0.9937857183087456,168
10,396173,660.2883333333333,396183,660.305,2138.1639495819677,472.1167637863514,2128.7813383078437,471.9358984538561,-9.382611274123974,-0.18086533249527292,-0.770959198474884,0.6974977850914001,-8.61165207564909,-0.8783631175866731,-1.032912395920198,0.004512391409034214,-0.9485965762999132,-0.07438606244476255,-1,0,-5,5,0.03322028719677469,0.0904190148924813,0.9961310182326535,168
